書名,請求記号,書名ヨミ,著者,冊数,出版者,出版年,種別,言語,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:callNumber,dcndl:titleTranscription,dcterms:creator,dcterms:extent,dcterms:publisher,dcterms:issued,dcndl:materialType,dcterms:language,archiveshub:note,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,91457
五百家註音辯昌黎先生文集 40巻 (存19巻) [1],A00:4001,ゴヒャッカ チュウ オンベン ショウレイ センセイ ブンシュウ,韓 愈,5,[出版者不明],[元和寛永年間],漢籍,中国語,"巻末の書名: 五百家注昌黎文集(卷第22), 昌黎文集(卷第23), 韓文(卷第25), 昌黎先生集(卷第26), 五百家註韓文(卷第27)|帙題簽の書名: 五百家注昌黎先生文集|四周双辺有界9行17字注文双行 内匡廓: 22.4×17.0cm, 黒口双黒魚尾|古活字本|序目, 卷第1-21を欠く|墨筆訓点付|朱点, 朱引あり|墨筆書き入れあり|印記: 「圃樂亭圖書」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/41403d3b-4a58-13d3-7e2d-eaab22ec30eb.json,41403d3b-4a58-13d3-7e2d-eaab22ec30eb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/41403d3b-4a58-13d3-7e2d-eaab22ec30eb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f37ae838120692f3528beb3ae2aca3e01e0ac3c3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002110,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/41403d3b-4a58-13d3-7e2d-eaab22ec30eb/manifest,,,,,69
五百家註音辯昌黎先生文集 40巻 (存19巻) [2],A00:4001,ゴヒャッカ チュウ オンベン ショウレイ センセイ ブンシュウ,韓 愈,5,[出版者不明],[元和寛永年間],漢籍,中国語,"巻末の書名: 五百家注昌黎文集(卷第22), 昌黎文集(卷第23), 韓文(卷第25), 昌黎先生集(卷第26), 五百家註韓文(卷第27)|帙題簽の書名: 五百家注昌黎先生文集|四周双辺有界9行17字注文双行 内匡廓: 22.4×17.0cm, 黒口双黒魚尾|古活字本|序目, 卷第1-21を欠く|墨筆訓点付|朱点, 朱引あり|墨筆書き入れあり|印記: 「圃樂亭圖書」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9bc67946-7ff1-212c-1674-15108a1e5011.json,9bc67946-7ff1-212c-1674-15108a1e5011,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/9bc67946-7ff1-212c-1674-15108a1e5011,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/876275a13e04c6bc3ba4e2c2086cf3f39aa32dee.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002109,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9bc67946-7ff1-212c-1674-15108a1e5011/manifest,,,,,83
五百家註音辯昌黎先生文集 40巻 (存19巻) [3],A00:4001,ゴヒャッカ チュウ オンベン ショウレイ センセイ ブンシュウ,韓 愈,5,[出版者不明],[元和寛永年間],漢籍,中国語,"巻末の書名: 五百家注昌黎文集(卷第22), 昌黎文集(卷第23), 韓文(卷第25), 昌黎先生集(卷第26), 五百家註韓文(卷第27)|帙題簽の書名: 五百家注昌黎先生文集|四周双辺有界9行17字注文双行 内匡廓: 22.4×17.0cm, 黒口双黒魚尾|古活字本|序目, 卷第1-21を欠く|墨筆訓点付|朱点, 朱引あり|墨筆書き入れあり|印記: 「圃樂亭圖書」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cf3a62e0-4c0f-6dfe-6e38-198cfc4c974b.json,cf3a62e0-4c0f-6dfe-6e38-198cfc4c974b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/cf3a62e0-4c0f-6dfe-6e38-198cfc4c974b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3f23b4c66aa490bec90e6c3ceb8c153ae37aac3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002108,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cf3a62e0-4c0f-6dfe-6e38-198cfc4c974b/manifest,,,,,95
五百家註音辯昌黎先生文集 40巻 (存19巻) [4],A00:4001,ゴヒャッカ チュウ オンベン ショウレイ センセイ ブンシュウ,韓 愈,5,[出版者不明],[元和寛永年間],漢籍,中国語,"巻末の書名: 五百家注昌黎文集(卷第22), 昌黎文集(卷第23), 韓文(卷第25), 昌黎先生集(卷第26), 五百家註韓文(卷第27)|帙題簽の書名: 五百家注昌黎先生文集|四周双辺有界9行17字注文双行 内匡廓: 22.4×17.0cm, 黒口双黒魚尾|古活字本|序目, 卷第1-21を欠く|墨筆訓点付|朱点, 朱引あり|墨筆書き入れあり|印記: 「圃樂亭圖書」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be6da67e-65f8-2571-8ce5-104872ad0e26.json,be6da67e-65f8-2571-8ce5-104872ad0e26,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/be6da67e-65f8-2571-8ce5-104872ad0e26,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1be86a43b3c757c1f31fa49520efa34ea6c3d927.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002107,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be6da67e-65f8-2571-8ce5-104872ad0e26/manifest,,,,,57
五百家註音辯昌黎先生文集 40巻 (存19巻) [5],A00:4001,ゴヒャッカ チュウ オンベン ショウレイ センセイ ブンシュウ,韓 愈,5,[出版者不明],[元和寛永年間],漢籍,中国語,"巻末の書名: 五百家注昌黎文集(卷第22), 昌黎文集(卷第23), 韓文(卷第25), 昌黎先生集(卷第26), 五百家註韓文(卷第27)|帙題簽の書名: 五百家注昌黎先生文集|四周双辺有界9行17字注文双行 内匡廓: 22.4×17.0cm, 黒口双黒魚尾|古活字本|序目, 卷第1-21を欠く|墨筆訓点付|朱点, 朱引あり|墨筆書き入れあり|印記: 「圃樂亭圖書」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f2497c2c-055e-5219-013a-530c08a9977a.json,f2497c2c-055e-5219-013a-530c08a9977a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/f2497c2c-055e-5219-013a-530c08a9977a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cf04d3f0a4f326a0663c510c7d3928b756078ae2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002106,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f2497c2c-055e-5219-013a-530c08a9977a/manifest,,,,,91
漢書 100巻(存16巻) [1],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d257017c-8e4b-a49c-3fd0-01cf2b959a4a.json,d257017c-8e4b-a49c-3fd0-01cf2b959a4a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/d257017c-8e4b-a49c-3fd0-01cf2b959a4a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b4c205576ff908e5286d7ea903b84c95d1201d72.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002105,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d257017c-8e4b-a49c-3fd0-01cf2b959a4a/manifest,,,,,78
漢書 100巻(存16巻) [2],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1b61b98-9bb6-134e-2460-13208c206653.json,d1b61b98-9bb6-134e-2460-13208c206653,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/d1b61b98-9bb6-134e-2460-13208c206653,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5e7bf3fb6bcfe1d7854a0e10a2db81cf16f64469.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002104,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1b61b98-9bb6-134e-2460-13208c206653/manifest,,,,,73
漢書 100巻(存16巻) [3],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1285ee5c-27eb-79aa-6a72-1111510a7a97.json,1285ee5c-27eb-79aa-6a72-1111510a7a97,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/1285ee5c-27eb-79aa-6a72-1111510a7a97,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c7a4747df6025b63a094e57e709074914e522057.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002103,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1285ee5c-27eb-79aa-6a72-1111510a7a97/manifest,,,,,76
漢書 100巻(存16巻) [4],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8dc3af8d-958f-0309-9f3d-675a778a8960.json,8dc3af8d-958f-0309-9f3d-675a778a8960,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/8dc3af8d-958f-0309-9f3d-675a778a8960,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a82bdf8f0309708d92dd0bd963e2050dfb6a9bf1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002102,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8dc3af8d-958f-0309-9f3d-675a778a8960/manifest,,,,,73
漢書 100巻(存16巻) [5],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9d58b35b-2d68-53b4-07a9-1a18993a5992.json,9d58b35b-2d68-53b4-07a9-1a18993a5992,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/9d58b35b-2d68-53b4-07a9-1a18993a5992,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0f2819dbfc10bcfc722577b2586d28243e3deba7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002101,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9d58b35b-2d68-53b4-07a9-1a18993a5992/manifest,,,,,54
漢書 100巻(存16巻) [6],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/29992ce6-80df-90ef-5912-b26aa0776521.json,29992ce6-80df-90ef-5912-b26aa0776521,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/29992ce6-80df-90ef-5912-b26aa0776521,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/71f14372bb7b180e6de9db40fb999be1eeeb696d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002100,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/29992ce6-80df-90ef-5912-b26aa0776521/manifest,,,,,78
漢書 100巻(存16巻) [7],A00:4002,カンジョ,班 固,9,[出版者不明],[李朝中期],漢籍,中国語,"版心の書名: 前漢年表, 前漢志, 前漢傳|内容: 16: 高惠高后文功臣表第4. 25: 郊祀志卷第5. 27: 五行志卷第7中-下. 41: 樊酈滕灌傳靳周傳第11. 42: 張周趙任申屠傳第12. 43: 酈陸朱劉叔孫傳第13. 75: 睦兩夏侯京翼李傳第45. 76: 趙尹韓張兩王傳第46. 79: 馮奉世傳第49. 80: 宣元六王傳第50. 81: 匡張孔馬傳第51. 82: 王商史丹傳第52. 83: 薛宣朱博傳第53. 84: 翟方進傳第54. 85: 谷永杜鄴傳第55. 86: 何武王嘉師丹傳第56|四周単辺有界10行17字注文双行, 内匡廓: 24.9×16.9cm, 白口双黒魚尾|朝鮮刊本(甲寅字体木活字)|朝鮮綴|16の冒頭に「星吾七十歳小象」あり|16, 25の欄外に「安東校上」との墨書あり|印記: 「□□□府之印」, 「飛青閣蔵書印」, 「宜都楊氏蔵書記」, 「星吾海外訪得秘笈」, 「星吾七十歳小象」, 「楊守敬印」, 「西備福山鹽田中圖書記」, 「勝鹿文庫」, 「松本氏圖書印」(松本月痴), 「森氏」(森枳園), 「金澤文庫」, 「島田鈞」, 「島田氏雙桂樓収臧」(島田篁村), 「南葵文庫」|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7f2d5188-1b5f-2c57-9471-2b9cf79c470d.json,7f2d5188-1b5f-2c57-9471-2b9cf79c470d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nanki/document/7f2d5188-1b5f-2c57-9471-2b9cf79c470d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a63c5a9883e4f793d5eb5a96a5006d094c7dc47b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1002099,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵南葵文庫,0012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7f2d5188-1b5f-2c57-9471-2b9cf79c470d/manifest,,,,,64
